real_part imag_part region
+6.17292630e-01 +1.99019917e-01 0
+2.09076364e-01 +6.78816228e-01 0
-9.13980940e-01 +5.17219217e-02 0
-8.97132569e-02 -6.72652882e-01 0
-3.79756671e-01 -1.27466895e-01 0
-5.75736505e-01 +4.52524159e-01 0
-1.32745466e-01 -3.09611381e-01 0
-6.82204538e-01 +3.43310070e-01 0
-5.84409093e-01 +3.14749101e-01 0
-4.18463128e-01 -2.02325062e-01 0
-5.15140357e+01 -1.43512748e+02 1
+5.63488295e+01 +1.51190803e+02 1
-1.26759649e+02 +7.54663769e+01 1
-4.24195767e+01 -1.53175961e+02 1
+7.12969862e+00 -1.56297313e+02 1
-1.46254330e+02 -7.53391652e+01 1
+1.52315758e+01 +1.45020863e+02 1
-1.25148243e+02 +6.38604322e+01 1
-8.62860779e+01 -1.12615459e+02 1
-1.16769823e+02 -1.13893901e+02 1
+4.05635730e+01 -1.35063703e+02 2
-1.30681098e+02 -7.31745896e+01 2
+6.35139588e+01 -1.45186944e+02 2
-1.27370687e+02 +9.97394426e+01 2
-1.42981482e+02 +6.88824036e+01 2
-1.82009008e+01 +1.45982247e+02 2
+7.61616020e+01 +1.20803048e+02 2
-1.24294063e+02 +7.49009879e+01 2
+7.01490517e+00 +1.51502707e+02 2
+1.63993002e+02 +2.51998014e+01 2
-1.36719519e+02 +3.94781713e+01 3
-1.46136998e+02 +2.44092591e+01 3
-1.55105822e+02 -1.53124526e+01 3
-1.59218025e+02 -6.44930563e+00 3
-1.63748709e+02 +4.04134249e+01 3
-1.51455386e+02 +5.91096068e+01 3
-1.56873395e+02 +2.99427763e+01 3
-1.55558769e+02 -3.95317200e-01 3
-1.40343883e+02 -4.68976920e+01 3
-1.64182748e+02 -7.76990992e+00 3
-1.45974157e+02 +1.73039831e+01 4
-1.62050285e+02 -4.06049954e+01 4
-1.38255661e+02 -5.24761145e+01 4
-1.51821869e+02 -1.05341503e+01 4
-1.48032422e+02 +7.56856343e+00 4
-1.46800663e+02 -3.97759413e+01 4
-1.66216153e+02 +4.83967711e+00 4
-1.47305182e+02 -3.29865851e+01 4
-1.55234054e+02 +2.52367744e+00 4
-1.52754636e+02 +5.89987893e+01 4
-7.04037041e+01 -1.08905132e+02 5
+9.72327488e+01 +4.89850672e+01 5
+3.61302624e+00 +7.69239509e+01 5
+1.04976761e+01 +1.19360423e+02 5
-6.12330792e+01 -6.60328786e+01 5
-7.92203653e+00 -9.39836206e+01 5
+3.95940973e+01 -4.65860812e+01 5
+2.62898464e+01 +6.85859849e+01 5
-9.84338836e+01 -9.36841165e+01 5
+1.16051960e+02 +3.94103988e+01 5
-1.31945842e+02 -9.02232145e+00 6
-9.27527764e+01 +4.12755659e+01 6
-1.04145444e+02 +1.71501679e+01 6
-1.10121517e+02 +4.17310853e+00 6
-4.59234572e+01 +2.43060480e+00 6
-4.56757765e+01 +1.45785858e+01 6
-2.90074251e+01 +1.60412568e+01 6
-6.68571995e+01 +1.13865914e+01 6
-9.44228674e+01 -3.62392302e+01 6
-8.87924688e+01 -1.81133342e+01 6
